time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-16 00:00:00+00:00,37,3,24,5
2023-01-17 00:00:00+00:00,41,5,60,5
2023-01-18 00:00:00+00:00,5,2,89,7
2023-01-19 00:00:00+00:00,0,0,108,14
2023-01-20 00:00:00+00:00,49,3,24,7
2023-01-21 00:00:00+00:00,24,2,0,0
2023-01-22 00:00:00+00:00,9,3,66,5
2023-01-23 00:00:00+00:00,17,3,74,7
2023-01-24 00:00:00+00:00,1,1,24,7
2023-01-25 00:00:00+00:00,1,1,63,9
2023-01-26 00:00:00+00:00,1,1,53,9
2023-01-27 00:00:00+00:00,0,0,14,5
2023-01-28 00:00:00+00:00,0,0,5,2
2023-01-29 00:00:00+00:00,4,4,30,2
2023-01-30 00:00:00+00:00,0,0,19,6
2023-01-31 00:00:00+00:00,1,1,9,4
2023-02-01 00:00:00+00:00,0,0,25,6
2023-02-02 00:00:00+00:00,0,0,2,2
2023-02-03 00:00:00+00:00,0,0,6,2
2023-02-04 00:00:00+00:00,1,1,11,5
2023-02-05 00:00:00+00:00,0,0,1,1
2023-02-06 00:00:00+00:00,1,1,8,4
2023-02-07 00:00:00+00:00,1,1,1,1
2023-02-08 00:00:00+00:00,9,3,18,3
2023-02-09 00:00:00+00:00,16,2,31,5
2023-02-10 00:00:00+00:00,0,0,15,4
2023-02-11 00:00:00+00:00,17,3,8,3
2023-02-12 00:00:00+00:00,1,1,15,3
2023-02-13 00:00:00+00:00,22,1,33,5
2023-02-14 00:00:00+00:00,11,4,33,7
2023-02-15 00:00:00+00:00,24,6,26,3
2023-02-16 00:00:00+00:00,22,4,53,6
2023-02-17 00:00:00+00:00,2,1,23,6
2023-02-18 00:00:00+00:00,1,1,5,1
2023-02-19 00:00:00+00:00,21,1,15,1
2023-02-20 00:00:00+00:00,23,3,26,4
2023-02-21 00:00:00+00:00,3,2,4,3
2023-02-22 00:00:00+00:00,0,0,19,3
2023-02-23 00:00:00+00:00,2,2,17,6
2023-02-24 00:00:00+00:00,2,2,6,3
2023-02-25 00:00:00+00:00,1,1,1,1
2023-02-26 00:00:00+00:00,0,0,4,3
2023-02-27 00:00:00+00:00,21,1,73,3
2023-02-28 00:00:00+00:00,96,5,77,4
2023-03-01 00:00:00+00:00,0,0,88,9
2023-03-02 00:00:00+00:00,9,6,42,2
2023-03-03 00:00:00+00:00,3,2,13,2
2023-03-04 00:00:00+00:00,65,3,101,4
2023-03-05 00:00:00+00:00,32,2,21,3
2023-03-06 00:00:00+00:00,224,8,440,13
2023-03-07 00:00:00+00:00,117,7,436,14
2023-03-08 00:00:00+00:00,65,5,282,11
2023-03-09 00:00:00+00:00,17,2,161,9
2023-03-10 00:00:00+00:00,36,3,239,6
2023-03-11 00:00:00+00:00,10,3,36,6
2023-03-12 00:00:00+00:00,2,2,19,8
2023-03-13 00:00:00+00:00,60,3,125,8
2023-03-14 00:00:00+00:00,11,1,145,13
2023-03-15 00:00:00+00:00,19,2,126,9
2023-03-16 00:00:00+00:00,72,6,164,6
2023-03-17 00:00:00+00:00,11,3,55,10
2023-03-18 00:00:00+00:00,1,1,16,5
2023-03-19 00:00:00+00:00,11,3,143,9
2023-03-20 00:00:00+00:00,315,10,670,15
2023-03-21 00:00:00+00:00,2,1,53,12
2023-03-22 00:00:00+00:00,5,2,63,13
2023-03-23 00:00:00+00:00,17,4,75,7
2023-03-24 00:00:00+00:00,16,2,31,8
2023-03-25 00:00:00+00:00,0,0,15,4
2023-03-26 00:00:00+00:00,14,1,25,5
2023-03-27 00:00:00+00:00,3,2,23,5
2023-03-28 00:00:00+00:00,4,4,66,6
2023-03-29 00:00:00+00:00,0,0,90,7
2023-03-30 00:00:00+00:00,45,8,200,11
2023-03-31 00:00:00+00:00,8,2,95,9
2023-04-01 00:00:00+00:00,3,3,27,6
2023-04-02 00:00:00+00:00,0,0,22,6
2023-04-03 00:00:00+00:00,50,4,179,15
2023-04-04 00:00:00+00:00,1,1,72,12
2023-04-05 00:00:00+00:00,2,2,27,7
2023-04-06 00:00:00+00:00,2,2,41,6
2023-04-07 00:00:00+00:00,2,2,21,4
2023-04-08 00:00:00+00:00,0,0,6,3
2023-04-09 00:00:00+00:00,2,2,2,2
2023-04-10 00:00:00+00:00,50,2,42,5
2023-04-11 00:00:00+00:00,2,2,15,6
2023-04-12 00:00:00+00:00,2,2,9,2
2023-04-13 00:00:00+00:00,1,1,24,9
2023-04-14 00:00:00+00:00,2,2,6,4
2023-04-15 00:00:00+00:00,1,1,7,3
2023-04-16 00:00:00+00:00,0,0,3,1
2023-04-17 00:00:00+00:00,0,0,54,7
2023-04-18 00:00:00+00:00,20,3,76,12
2023-04-19 00:00:00+00:00,1,1,9,7
2023-04-20 00:00:00+00:00,1,1,20,4
2023-04-21 00:00:00+00:00,1,1,7,4
2023-04-22 00:00:00+00:00,1,1,2,1
2023-04-23 00:00:00+00:00,16,2,43,7
2023-04-24 00:00:00+00:00,15,2,62,6
2023-04-25 00:00:00+00:00,0,0,12,2
2023-04-26 00:00:00+00:00,0,0,13,4
2023-04-27 00:00:00+00:00,0,0,24,5
2023-04-28 00:00:00+00:00,0,0,24,4
2023-04-29 00:00:00+00:00,1,1,0,0
2023-04-30 00:00:00+00:00,0,0,1,1
2023-05-01 00:00:00+00:00,27,2,41,4
2023-05-02 00:00:00+00:00,0,0,35,6
2023-05-03 00:00:00+00:00,1,1,35,4
2023-05-04 00:00:00+00:00,39,5,100,6
2023-05-05 00:00:00+00:00,16,2,122,7
2023-05-06 00:00:00+00:00,24,2,27,3
2023-05-07 00:00:00+00:00,10,3,14,2
2023-05-08 00:00:00+00:00,2,2,61,6
2023-05-09 00:00:00+00:00,9,3,95,11
2023-05-10 00:00:00+00:00,0,0,12,4
2023-05-11 00:00:00+00:00,0,0,46,7
2023-05-12 00:00:00+00:00,0,0,6,3
2023-05-13 00:00:00+00:00,9,3,9,1
2023-05-15 00:00:00+00:00,52,2,145,6
2023-05-16 00:00:00+00:00,8,2,64,9
2023-05-17 00:00:00+00:00,69,7,184,8
2023-05-18 00:00:00+00:00,16,2,109,8
2023-05-19 00:00:00+00:00,17,2,52,4
2023-05-20 00:00:00+00:00,29,5,43,4
2023-05-21 00:00:00+00:00,51,14,47,3
2023-05-22 00:00:00+00:00,35,5,33,4
2023-05-23 00:00:00+00:00,44,3,37,5
2023-05-24 00:00:00+00:00,25,2,100,8
2023-05-25 00:00:00+00:00,57,2,185,9
2023-05-26 00:00:00+00:00,1,1,26,8
2023-05-28 00:00:00+00:00,8,2,23,3
2023-05-29 00:00:00+00:00,1,1,22,8
2023-05-30 00:00:00+00:00,8,2,16,6
2023-05-31 00:00:00+00:00,1,1,9,6
2023-06-01 00:00:00+00:00,17,3,80,5
2023-06-02 00:00:00+00:00,9,3,16,5
2023-06-03 00:00:00+00:00,0,0,5,2
2023-06-04 00:00:00+00:00,1,1,11,2
2023-06-05 00:00:00+00:00,32,2,44,5
2023-06-06 00:00:00+00:00,41,3,39,8
2023-06-07 00:00:00+00:00,24,2,53,5
2023-06-08 00:00:00+00:00,47,7,85,6
2023-06-09 00:00:00+00:00,0,0,21,4
2023-06-10 00:00:00+00:00,8,2,20,3
2023-06-11 00:00:00+00:00,1,1,4,1
2023-06-12 00:00:00+00:00,10,4,20,3
2023-06-13 00:00:00+00:00,9,3,69,5
2023-06-14 00:00:00+00:00,10,4,67,8
2023-06-15 00:00:00+00:00,48,2,94,7
2023-06-16 00:00:00+00:00,46,5,52,4
2023-06-17 00:00:00+00:00,13,4,12,3
2023-06-18 00:00:00+00:00,12,3,26,2
2023-06-19 00:00:00+00:00,3,2,19,3
2023-06-20 00:00:00+00:00,50,5,86,6
2023-06-21 00:00:00+00:00,30,6,102,10
2023-06-22 00:00:00+00:00,26,3,188,8
2023-06-23 00:00:00+00:00,2,1,21,5
2023-06-24 00:00:00+00:00,1,1,5,5
2023-06-25 00:00:00+00:00,12,5,49,4
2023-06-26 00:00:00+00:00,6,3,150,7
2023-06-27 00:00:00+00:00,3,3,102,4
2023-06-28 00:00:00+00:00,18,4,27,5
2023-06-29 00:00:00+00:00,8,2,26,6
2023-06-30 00:00:00+00:00,10,4,0,0
2023-07-01 00:00:00+00:00,3,2,1,1
2023-07-02 00:00:00+00:00,1,1,2,2
2023-07-03 00:00:00+00:00,12,6,44,4
2023-07-04 00:00:00+00:00,10,4,72,5
2023-07-05 00:00:00+00:00,19,4,114,8
2023-07-06 00:00:00+00:00,14,5,49,9
2023-07-07 00:00:00+00:00,2,1,3,2
2023-07-08 00:00:00+00:00,8,2,11,2
2023-07-09 00:00:00+00:00,0,0,11,5
2023-07-10 00:00:00+00:00,3,3,22,6
2023-07-11 00:00:00+00:00,2,2,2,1
2023-07-12 00:00:00+00:00,8,2,49,4
2023-07-14 00:00:00+00:00,0,0,18,6
2023-07-15 00:00:00+00:00,1,1,0,0
2023-07-16 00:00:00+00:00,1,1,4,1
2023-07-17 00:00:00+00:00,1,1,54,7
2023-07-18 00:00:00+00:00,2,2,35,3
2023-07-19 00:00:00+00:00,1,1,16,5
2023-07-20 00:00:00+00:00,0,0,23,4
2023-07-21 00:00:00+00:00,1,1,5,4
2023-07-22 00:00:00+00:00,4,4,0,0
2023-07-23 00:00:00+00:00,9,3,7,1
2023-07-24 00:00:00+00:00,0,0,29,6
2023-07-25 00:00:00+00:00,0,0,7,4
2023-07-26 00:00:00+00:00,0,0,5,3
2023-07-27 00:00:00+00:00,16,2,41,6
2023-07-28 00:00:00+00:00,6,3,4,3
2023-07-29 00:00:00+00:00,0,0,4,1
2023-07-30 00:00:00+00:00,8,2,0,0
2023-07-31 00:00:00+00:00,2,2,26,4
2023-08-01 00:00:00+00:00,1,1,56,4
2023-08-02 00:00:00+00:00,1,1,25,6
2023-08-03 00:00:00+00:00,9,3,45,5
2023-08-04 00:00:00+00:00,2,2,38,3
2023-08-05 00:00:00+00:00,1,1,7,1
2023-08-06 00:00:00+00:00,2,2,1,1
2023-08-07 00:00:00+00:00,19,5,34,4
2023-08-08 00:00:00+00:00,11,4,51,4
2023-08-09 00:00:00+00:00,10,4,78,6
2023-08-10 00:00:00+00:00,66,3,179,5
2023-08-11 00:00:00+00:00,0,0,13,5
2023-08-12 00:00:00+00:00,1,1,5,1
2023-08-13 00:00:00+00:00,1,1,0,0
2023-08-14 00:00:00+00:00,16,2,55,5
2023-08-15 00:00:00+00:00,16,2,16,3
2023-08-16 00:00:00+00:00,1,1,22,6
2023-08-17 00:00:00+00:00,55,2,132,8
2023-08-18 00:00:00+00:00,18,4,30,2
2023-08-19 00:00:00+00:00,1,1,22,2
2023-08-20 00:00:00+00:00,0,0,3,1
2023-08-21 00:00:00+00:00,10,4,53,6
2023-08-22 00:00:00+00:00,41,3,90,6
2023-08-23 00:00:00+00:00,120,5,324,7
2023-08-24 00:00:00+00:00,80,3,295,9
2023-08-25 00:00:00+00:00,21,5,83,8
2023-08-26 00:00:00+00:00,3,2,20,3
2023-08-27 00:00:00+00:00,3,2,7,3
2023-08-28 00:00:00+00:00,3,3,38,6
2023-08-29 00:00:00+00:00,5,5,41,4
2023-08-30 00:00:00+00:00,20,3,99,6
2023-08-31 00:00:00+00:00,37,4,20,3
2023-09-01 00:00:00+00:00,1,1,17,2
2023-09-02 00:00:00+00:00,15,2,11,2
2023-09-03 00:00:00+00:00,5,3,3,2
2023-09-04 00:00:00+00:00,0,0,19,4
2023-09-05 00:00:00+00:00,25,8,27,3
2023-09-06 00:00:00+00:00,3,3,10,1
2023-09-07 00:00:00+00:00,41,6,148,12
2023-09-08 00:00:00+00:00,2,2,13,4
2023-09-09 00:00:00+00:00,0,0,23,3
2023-09-10 00:00:00+00:00,9,3,0,0
2023-09-11 00:00:00+00:00,3,3,6,3
2023-09-12 00:00:00+00:00,0,0,22,3
2023-09-13 00:00:00+00:00,4,3,53,9
2023-09-14 00:00:00+00:00,11,5,68,10
2023-09-15 00:00:00+00:00,6,5,67,11
2023-09-16 00:00:00+00:00,1,1,2,1
2023-09-17 00:00:00+00:00,0,0,10,1
2023-09-18 00:00:00+00:00,8,2,58,8
2023-09-19 00:00:00+00:00,8,2,34,7
2023-09-20 00:00:00+00:00,21,3,17,5
2023-09-21 00:00:00+00:00,19,4,38,8
2023-09-22 00:00:00+00:00,16,2,20,3
2023-09-23 00:00:00+00:00,20,2,11,3
2023-09-24 00:00:00+00:00,2,2,12,2
2023-09-25 00:00:00+00:00,43,4,55,6
2023-09-26 00:00:00+00:00,45,3,114,7
2023-09-27 00:00:00+00:00,23,2,62,10
2023-09-28 00:00:00+00:00,2,2,31,6
2023-09-29 00:00:00+00:00,1,1,14,6
2023-09-30 00:00:00+00:00,1,1,3,2
2023-10-01 00:00:00+00:00,9,3,6,4
2023-10-02 00:00:00+00:00,2,2,108,5
2023-10-03 00:00:00+00:00,67,6,120,9
2023-10-04 00:00:00+00:00,33,7,68,6
2023-10-05 00:00:00+00:00,0,0,9,4
2023-10-06 00:00:00+00:00,1,1,53,8
2023-10-07 00:00:00+00:00,0,0,1,1
2023-10-08 00:00:00+00:00,0,0,2,2
2023-10-09 00:00:00+00:00,10,4,78,4
2023-10-10 00:00:00+00:00,9,6,49,8
2023-10-11 00:00:00+00:00,25,8,143,7
2023-10-12 00:00:00+00:00,1,1,70,9
2023-10-13 00:00:00+00:00,2,1,14,3
2023-10-14 00:00:00+00:00,4,2,0,0
2023-10-15 00:00:00+00:00,4,2,0,0
2023-10-16 00:00:00+00:00,3,2,28,5
2023-10-17 00:00:00+00:00,1,1,6,3
2023-10-18 00:00:00+00:00,4,2,141,7
2023-10-19 00:00:00+00:00,1,1,9,6
2023-10-20 00:00:00+00:00,3,2,9,5
2023-10-21 00:00:00+00:00,1,1,0,0
2023-10-22 00:00:00+00:00,1,1,0,0
2023-10-23 00:00:00+00:00,1,1,2,2
2023-10-24 00:00:00+00:00,4,3,10,5
2023-10-25 00:00:00+00:00,77,4,131,7
2023-10-26 00:00:00+00:00,3,2,28,5
2023-10-27 00:00:00+00:00,1,1,10,4
2023-10-28 00:00:00+00:00,0,0,10,3
2023-10-29 00:00:00+00:00,0,0,1,1
2023-10-30 00:00:00+00:00,2,2,110,7
2023-10-31 00:00:00+00:00,2,2,15,7
2023-11-01 00:00:00+00:00,17,3,70,5
2023-11-02 00:00:00+00:00,10,3,164,9
2023-11-03 00:00:00+00:00,1,1,29,4
2023-11-04 00:00:00+00:00,2,2,2,2
2023-11-05 00:00:00+00:00,3,2,0,0
2023-11-06 00:00:00+00:00,2,2,24,5
2023-11-07 00:00:00+00:00,1,1,7,3
2023-11-08 00:00:00+00:00,3,3,84,12
2023-11-09 00:00:00+00:00,16,2,52,6
2023-11-10 00:00:00+00:00,3,3,48,8
2023-11-11 00:00:00+00:00,2,2,3,2
2023-11-12 00:00:00+00:00,3,2,16,3
2023-11-13 00:00:00+00:00,2,2,36,2
2023-11-14 00:00:00+00:00,1,1,39,4
2023-11-15 00:00:00+00:00,10,3,27,4
2023-11-16 00:00:00+00:00,2,1,34,4
2023-11-17 00:00:00+00:00,0,0,115,10
2023-11-18 00:00:00+00:00,1,1,2,1
2023-11-19 00:00:00+00:00,1,1,1,1
2023-11-20 00:00:00+00:00,51,4,76,7
2023-11-21 00:00:00+00:00,96,6,69,8
2023-11-22 00:00:00+00:00,11,4,51,8
2023-11-23 00:00:00+00:00,5,3,57,5
2023-11-24 00:00:00+00:00,16,5,73,7
2023-11-25 00:00:00+00:00,1,1,81,3
2023-11-26 00:00:00+00:00,1,1,34,4
2023-11-27 00:00:00+00:00,2,2,103,8
2023-11-28 00:00:00+00:00,0,0,49,6
2023-11-29 00:00:00+00:00,9,2,27,6
2023-11-30 00:00:00+00:00,1,1,46,5
2023-12-01 00:00:00+00:00,2,2,80,3
2023-12-02 00:00:00+00:00,0,0,6,1
2023-12-03 00:00:00+00:00,1,1,5,4
2023-12-04 00:00:00+00:00,0,0,44,5
2023-12-05 00:00:00+00:00,1,1,55,7
2023-12-06 00:00:00+00:00,2,1,24,5
2023-12-07 00:00:00+00:00,21,5,118,8
2023-12-08 00:00:00+00:00,15,6,88,3
2023-12-09 00:00:00+00:00,2,2,2,1
2023-12-10 00:00:00+00:00,9,2,18,3
2023-12-11 00:00:00+00:00,35,7,110,7
2023-12-12 00:00:00+00:00,2,2,6,3
2023-12-13 00:00:00+00:00,28,3,60,4
2023-12-14 00:00:00+00:00,16,4,51,7
2023-12-15 00:00:00+00:00,2,2,60,7
2023-12-16 00:00:00+00:00,1,1,0,0
2023-12-18 00:00:00+00:00,11,4,96,11
2023-12-19 00:00:00+00:00,55,2,81,9
2023-12-20 00:00:00+00:00,19,3,70,9
2023-12-21 00:00:00+00:00,26,6,44,8
2023-12-22 00:00:00+00:00,30,4,25,3
2023-12-23 00:00:00+00:00,3,2,12,5
2023-12-24 00:00:00+00:00,2,1,12,2
2023-12-25 00:00:00+00:00,4,3,61,2
2023-12-26 00:00:00+00:00,2,1,9,4
2023-12-27 00:00:00+00:00,5,2,50,5
2023-12-28 00:00:00+00:00,4,2,86,4
2023-12-29 00:00:00+00:00,3,3,18,5
2023-12-30 00:00:00+00:00,3,2,4,3
2023-12-31 00:00:00+00:00,0,0,5,3
2024-01-01 00:00:00+00:00,2,1,3,2
2024-01-02 00:00:00+00:00,2,2,8,3
2024-01-03 00:00:00+00:00,1,1,10,3
2024-01-04 00:00:00+00:00,17,2,15,4
2024-01-05 00:00:00+00:00,0,0,17,5
2024-01-06 00:00:00+00:00,1,1,4,2
2024-01-07 00:00:00+00:00,0,0,9,1
2024-01-08 00:00:00+00:00,11,3,73,10
2024-01-09 00:00:00+00:00,13,3,184,9
2024-01-10 00:00:00+00:00,38,6,74,6
2024-01-11 00:00:00+00:00,20,5,83,8
2024-01-12 00:00:00+00:00,76,7,136,9
2024-01-13 00:00:00+00:00,2,2,10,5
2024-01-14 00:00:00+00:00,0,0,14,6
2024-01-15 00:00:00+00:00,3,3,3,3
2024-01-16 00:00:00+00:00,34,3,109,7
2024-01-17 00:00:00+00:00,63,4,64,8
2024-01-18 00:00:00+00:00,66,6,101,9
2024-01-19 00:00:00+00:00,17,3,34,8
2024-01-20 00:00:00+00:00,1,1,0,0
2024-01-21 00:00:00+00:00,1,1,2,1
2024-01-22 00:00:00+00:00,9,3,25,4
2024-01-23 00:00:00+00:00,17,3,68,8
2024-01-24 00:00:00+00:00,17,3,26,3
2024-01-25 00:00:00+00:00,11,4,16,3
2024-01-26 00:00:00+00:00,8,1,57,5
2024-01-27 00:00:00+00:00,2,2,3,2
2024-01-28 00:00:00+00:00,2,2,1,1
2024-01-29 00:00:00+00:00,10,3,70,7
2024-01-30 00:00:00+00:00,2,2,41,6
2024-01-31 00:00:00+00:00,42,2,92,13
2024-02-01 00:00:00+00:00,14,4,99,15
2024-02-02 00:00:00+00:00,1,1,17,6
2024-02-03 00:00:00+00:00,3,2,5,1
2024-02-04 00:00:00+00:00,1,1,5,3
2024-02-05 00:00:00+00:00,20,5,81,10
2024-02-06 00:00:00+00:00,0,0,38,5
2024-02-07 00:00:00+00:00,5,1,30,6
2024-02-08 00:00:00+00:00,16,2,26,5
2024-02-09 00:00:00+00:00,17,3,56,9
2024-02-11 00:00:00+00:00,0,0,27,6
2024-02-12 00:00:00+00:00,8,2,22,6
2024-02-13 00:00:00+00:00,0,0,12,4
2024-02-14 00:00:00+00:00,0,0,14,4
2024-02-15 00:00:00+00:00,46,9,163,17
2024-02-16 00:00:00+00:00,2,2,12,7
2024-02-17 00:00:00+00:00,2,2,3,3
2024-02-19 00:00:00+00:00,1,1,4,2
2024-02-20 00:00:00+00:00,0,0,63,2
2024-02-21 00:00:00+00:00,1,1,38,4
2024-02-22 00:00:00+00:00,0,0,51,10
2024-02-23 00:00:00+00:00,1,1,6,3
2024-02-24 00:00:00+00:00,0,0,1,1
2024-02-25 00:00:00+00:00,0,0,11,5
2024-02-26 00:00:00+00:00,0,0,26,2
2024-02-27 00:00:00+00:00,0,0,1,1
2024-02-28 00:00:00+00:00,10,3,60,7
2024-02-29 00:00:00+00:00,2,1,53,12
2024-03-01 00:00:00+00:00,0,0,72,10
2024-03-02 00:00:00+00:00,1,1,23,5
2024-03-03 00:00:00+00:00,0,0,3,2
2024-03-04 00:00:00+00:00,3,3,151,8
2024-03-05 00:00:00+00:00,1,1,21,8
2024-03-06 00:00:00+00:00,5,4,72,7
2024-03-07 00:00:00+00:00,11,3,57,6
2024-03-08 00:00:00+00:00,20,3,30,6
2024-03-09 00:00:00+00:00,4,2,23,5
2024-03-10 00:00:00+00:00,1,1,18,4
2024-03-11 00:00:00+00:00,10,2,168,12
2024-03-12 00:00:00+00:00,28,2,185,10
2024-03-13 00:00:00+00:00,56,8,363,15
2024-03-14 00:00:00+00:00,12,5,147,10
2024-03-15 00:00:00+00:00,11,4,95,8
2024-03-16 00:00:00+00:00,8,2,12,4
2024-03-17 00:00:00+00:00,4,3,22,4
2024-03-18 00:00:00+00:00,40,5,123,10
2024-03-19 00:00:00+00:00,49,4,77,9
2024-03-20 00:00:00+00:00,20,4,140,15
2024-03-21 00:00:00+00:00,11,4,94,8
2024-03-22 00:00:00+00:00,56,3,132,7
2024-03-23 00:00:00+00:00,16,4,21,6
2024-03-24 00:00:00+00:00,3,3,5,3
2024-03-25 00:00:00+00:00,40,3,179,10
2024-03-26 00:00:00+00:00,66,4,267,12
2024-03-27 00:00:00+00:00,70,7,173,12
2024-03-28 00:00:00+00:00,155,6,333,18
2024-03-29 00:00:00+00:00,78,4,255,11
2024-03-30 00:00:00+00:00,2,2,18,4
2024-03-31 00:00:00+00:00,1,1,63,4
2024-04-01 00:00:00+00:00,231,7,570,18
2024-04-02 00:00:00+00:00,65,4,288,17
2024-04-03 00:00:00+00:00,112,3,231,10
2024-04-04 00:00:00+00:00,42,5,186,15
